,name,party,state,SGID,thomas_id,bioguide_id,congress,number_of_bills,share_of_bills,share_of_signatures_received_111_115,share_of_signatures_given_111_115,engagement_score,eigenvector_centrality
407,"McEachin, A. Donald",Democrat,VA,1960,,M001200,115,19,0.002750832,0.000751348,0.000692058,0.004194238,0.047293481
408,"McSally, Martha",Republican,AZ,1961,,M001197,115,28,0.004053858,0.002755642,0.000873512,0.007683012,0.066962623
409,"Mitchell, Paul",Republican,MI,1962,,M001201,115,7,0.001013465,0.000109134,0.000487394,0.001609993,0.031373877
410,"Moolenaar, John R.",Republican,MI,1963,,M001194,115,4,0.000579123,0.000100739,0.000776455,0.001456317,0.024909636
411,"Mooney, Alexander X.",Republican,WV,1964,,M001195,115,8,0.001158245,0.000917148,0.000962129,0.003037522,0.038459654
412,"Morelle, Joseph D.",Democrat,NY,1965,,M001206,115,1,0.000144781,6.30E-05,9.92E-05,0.00030691,0.013306655
413,"Moulton, Seth",Democrat,MA,1966,,M001196,115,18,0.002606052,0.001494301,0.00186729,0.005967642,0.062012662
414,"Murphy, Stephanie N.",Democrat,FL,1967,,M001202,115,16,0.002316491,0.001324303,0.000643529,0.004284323,0.05830189
415,"Newhouse, Dan",Republican,WA,1968,,N000189,115,10,0.001447807,0.000912951,0.001027537,0.003388294,0.044845719
416,"Norcross, Donald",Democrat,NJ,1969,,N000188,115,9,0.001303026,0.000142714,0.001415764,0.002861504,0.044948773
417,"Norman, Ralph",Republican,SC,1970,,N000190,115,14,0.002026929,0.000239256,0.000639309,0.002905495,0.031433341
418,"O'Halleran, Tom",Democrat,AZ,1971,,O000171,115,18,0.002606052,0.00038197,0.000696277,0.003684299,0.05107175
419,"Palmer, Gary J.",Republican,AL,1972,,P000609,115,7,0.001013465,0.001294921,0.000449415,0.002757801,0.029484818
420,"Panetta, Jimmy",Democrat,CA,1973,,P000613,115,9,0.001303026,0.000186788,0.000795444,0.002285258,0.045642884
421,"Plaskett, Stacey E.",Democrat,VI,1974,,P000610,115,9,0.001303026,0.000577153,0.000687838,0.002568016,0.02527149
422,"Poliquin, Bruce",Republican,ME,1975,,P000611,115,11,0.001592587,0.000289626,0.000997998,0.002880211,0.034517845
423,"Radewagen, Aumua Amata Coleman",Republican,AS,1976,,R000600,115,6,0.000868684,3.36E-05,0.000578121,0.001480385,0.02342577
424,"Raskin, Jamie",Democrat,MD,1977,,R000606,115,11,0.001592587,0.000583449,0.001797662,0.003973698,0.057288317
425,"Ratcliffe, John",Republican,TX,1978,,R000601,115,15,0.00217171,0.00106406,0.000852412,0.004088182,0.030027885
426,"Rice, Kathleen M.",Democrat,NY,1979,,R000602,115,17,0.002461271,0.000386168,0.001751243,0.004598682,0.047308357
427,"Rooney, Francis",Republican,FL,1980,,R000607,115,19,0.002750832,0.000298021,0.000455745,0.003504598,0.02755402
428,"Rosen, Jacky",Democrat,NV,1981,,R000608,115,19,0.002750832,0.00078073,0.000985338,0.004516901,0.06002256
429,"Rouzer, David",Republican,NC,1982,,R000603,115,6,0.000868684,0.00034839,0.001263849,0.002480923,0.029955463
430,"Russell, Steve",Republican,OK,1983,,R000604,115,14,0.002026929,0.000476413,0.000641419,0.003144762,0.028360399
431,"Rutherford, John H.",Republican,FL,1984,,R000609,115,12,0.001737368,0.000298021,0.000447306,0.002482694,0.035936417
432,"Ryan, Paul D.",Republican,WI,1985,,R000570,115,2,0.000289561,0.000100739,7.81E-05,0.000468368,0.00221491
433,"Scanlon, Mary Gay",Democrat,PA,1986,,S001205,115,0,0,0,2.95E-05,2.95E-05,0.002542251
434,"Schneider, Bradley Scott",Democrat,IL,1987,,S001190,115,30,0.00434342,0.000952827,0.000770125,0.006066371,0.060312613
435,"Smucker, Lloyd",Republican,PA,1988,,S001199,115,10,0.001447807,0.00026654,0.000443086,0.002157432,0.034779404
436,"Soto, Darren",Democrat,FL,1989,,S001200,115,18,0.002606052,0.00043234,0.0015508,0.004589191,0.056630212
437,"Stefanik, Elise M.",Republican,NY,1990,,S001196,115,21,0.003040394,0.002113428,0.00154025,0.006694072,0.070696584
438,"Suozzi, Thomas R.",Democrat,NY,1991,,S001201,115,8,0.001158245,0.000146912,0.000774345,0.002079502,0.043706656
439,"Taylor, Scott",Republican,VA,1993,,T000477,115,18,0.002606052,0.000509993,0.000244752,0.003360797,0.044465824
440,"Tenney, Claudia",Republican,NY,1994,,T000478,115,13,0.001882149,0.000228762,0.000582341,0.002693252,0.039653646
441,"Torres, Norma J.",Democrat,CA,1995,,T000474,115,26,0.003764297,0.000489006,0.0012322,0.005485503,0.045835263
442,"Trott, David A.",Republican,MI,1996,,T000475,115,10,0.001447807,0.000421846,0.000704717,0.00257437,0.041144012
443,"Walker, Mark",Republican,NC,1997,,W000819,115,12,0.001737368,0.000839495,0.000645639,0.003222502,0.029027482
444,"Walters, Mimi",Republican,CA,1998,,W000820,115,8,0.001158245,0.000304317,0.000673068,0.00213563,0.02348156
445,"Watson Coleman, Bonnie",Democrat,NJ,1999,,W000822,115,18,0.002606052,0.001244551,0.00216479,0.006015393,0.04934899
446,"Weber, Randy K., Sr.",Republican,TX,2000,,W000814,115,9,0.001303026,0.000562462,0.001443193,0.003308681,0.030715768
447,"Westerman, Bruce",Republican,AR,2001,,W000821,115,9,0.001303026,0.000339995,0.000974788,0.00261781,0.03491145
448,"Wild, Susan",Democrat,PA,2002,,W000826,115,0,0,0,2.74E-05,2.74E-05,0.002356138
449,"Young, David",Republican,IA,2003,,Y000066,115,15,0.00217171,0.000675793,0.001208991,0.004056494,0.049660338
450,"Zeldin, Lee M.",Republican,NY,2004,,Z000017,115,24,0.003474736,0.001553066,0.001114044,0.006141845,0.056705816
451,"Zinke, Ryan K.",Republican,MT,2005,,Z000018,115,0,0,0.000669497,0.000715267,0.001384764,0.000495984
